samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-V955-2026-SM-3GAFA,7.45,3.3918,9.001,10.8081,7.831,10.0994,2.4284,0,,,TCGA-E2-A1IG-11,7.1478,5.6165,9.439,10.6003,7.3815,9.7696,4.1589,4.4646
GTEX-Y9LG-1426-SM-5IFJZ,6.1998,2.8369,9.603,11.7857,7.4477,10.162,1.7899,2.8369,,,TCGA-E9-A1N5-11,8.8297,8.4244,9.9655,10.376,8.5409,9.184,7.7797,7.2445
GTEX-13O61-1826-SM-5KM4I,6.549,3.9309,9.6845,11.8069,7.0837,10.3393,1.755,3.0225,,,TCGA-A7-A13F-11,6.6789,5.0173,8.975,10.6162,7.6566,9.3934,1.6735,3.8216
GTEX-13PVQ-1026-SM-5KM3M,5.3287,4.0845,10.1405,12.0461,7.9412,9.8436,1.2936,1.2936,,,TCGA-BH-A1FM-11,6.389,6.0037,8.8258,10.735,8.3755,9.7165,4.7268,4.3674
GTEX-ZT9W-2026-SM-51MRA,6.8793,4.6195,9.7151,11.7786,7.1517,10.5958,3.0133,2.7856,,,TCGA-BH-A1FU-11,6.6532,5.6553,8.8956,10.73,8.1894,9.6024,4.3029,3.784
GTEX-YEC3-1026-SM-5IFI5,6.7431,3.086,8.8508,11.4552,6.6156,10.1835,2.8565,2.2466,,,TCGA-E2-A15I-11,5.1759,4.3457,7.9991,10.2145,7.3058,9.5822,3.1552,1.4634
GTEX-ZWKS-2826-SM-5NQ74,6.5879,3.6709,8.9931,11.5892,8.1606,9.1831,4.1661,3.515,,,TCGA-BH-A0DZ-11,8.8125,7.1835,9.0855,10.597,8.3161,9.3238,5.0308,4.7579
GTEX-11P82-1326-SM-5HL62,5.5675,2.8459,9.6232,12.3598,6.7522,10.0098,1.349,1.349,,,TCGA-E2-A158-11,6.9089,5.2889,9.2791,10.6001,7.4299,9.4041,4.6679,3.7759
GTEX-117YX-1426-SM-5H12H,6.0564,3.6038,9.7785,11.3986,6.5501,9.8943,1.922,1.922,,,TCGA-E9-A1RI-11,5.9161,2.7793,9.3423,10.5587,7.1946,10.1486,1.9755,1.3023
GTEX-12WSN-1326-SM-5GCNT,7.587,5.978,9.3722,11.6105,7.7129,9.6417,4.0451,4.1884,,,TCGA-BH-A0B7-11,7.3146,6.3489,9.3553,10.297,8.5771,9.6312,5.6764,5.0655
GTEX-12WSM-1726-SM-5BC6J,6.1137,3.0735,9.534,11.49,7.5367,9.4341,2.4465,2.4465,,,TCGA-BH-A0DQ-11,6.9086,6.0213,9.2795,10.2873,8.7014,9.3918,4.6279,5.1933
GTEX-ZDYS-1126-SM-5K7UB,7.1564,1.7659,9.6295,11.6188,6.6035,10.232,1.7659,0,,,TCGA-BH-A0BJ-11,7.065,6.1299,9.4913,10.3055,8.2896,9.4167,5.3576,4.436
GTEX-XQ8I-2426-SM-4WAXY,6.2024,4.8024,8.8488,11.5277,7.6828,10.2685,1.8838,1.2297,,,TCGA-BH-A0DT-11,7.049,6.0115,9.52,10.6388,8.6898,9.6005,5.0198,4.443
GTEX-11WQK-2426-SM-5GU5C,4.6747,2.5627,10.0663,12.155,8.7916,9.5755,2.2268,1.7883,,,TCGA-E2-A1LB-11,7.8074,7.3916,9.7112,10.3542,8.7134,9.4416,5.818,5.8009
GTEX-ZF2S-2026-SM-5E461,5.7715,4.2626,9.1324,10.8764,8.849,9.2839,4.3329,3.1145,,,TCGA-E9-A1N4-11,7.7126,6.1267,9.4097,10.3643,8.9754,9.5644,5.8071,5.6777
GTEX-13FTY-2226-SM-5J1ND,6.6775,4.7192,8.4321,11.1967,9.4095,8.6283,4.2801,2.1556,,,TCGA-AC-A2FF-11,8.1649,7.6919,10.0617,10.863,8.7868,9.3382,6.3959,6.2334
GTEX-WYVS-1726-SM-3NMAY,6.9214,5.0917,8.8347,10.7668,9.4422,9.2421,4.6158,2.421,,,TCGA-BH-A0B5-11,6.4335,3.1215,9.0624,10.811,6.235,9.9198,1.6326,1.2634
GTEX-ZVT2-1826-SM-5NQ8W,6.913,4.7058,8.333,11.5545,8.0945,9.1695,3.695,3.5553,,,TCGA-E2-A1L7-11,7.5109,5.9206,9.3743,10.7961,8.1157,9.4543,4.8636,5.2662
GTEX-RU72-0626-SM-46MUI,5.9942,4.8952,8.5948,11.085,9.0935,9.1156,4.0606,1.8538,,,TCGA-E9-A1RB-11,7.7612,6.9943,9.3443,10.5866,7.9785,9.6051,5.9798,4.7044
