samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-12BJ1-1026-SM-5EGJA,8.2565,6.8943,10.5038,11.9993,8.0165,9.5716,3.9647,4.3066,,,TCGA-43-6773-01,9.6603,7.5725,10.2679,11.2309,7.8384,9.5413,8.1361,7.0189
GTEX-145MO-1326-SM-5Q5EF,6.5728,6.8133,9.9189,11.3183,8.4851,8.8237,4.6175,5.2734,,,TCGA-46-3767-01,8.6145,7.3802,10.1372,10.8425,8.4991,9.5434,8.015,6.5529
GTEX-PLZ6-0426-SM-5IFK2,8.9361,6.897,9.0839,11.4441,7.9741,9.0453,5.4586,5.9721,,,TCGA-63-A5MW-01,10.3076,8.7127,10.5764,11.3998,9.1995,9.9839,9.9056,10.1416
GTEX-13NYS-1626-SM-5J2MU,6.6022,5.2172,9.4421,11.1649,9.3601,8.7057,5.9297,5.5314,,,TCGA-77-8143-01,10.0786,10.3358,9.2236,11.2594,7.1983,9.4419,8.9867,9.4122
GTEX-QDVN-0726-SM-4B64L,7.3219,7.4992,9.7123,12.0959,8.3538,9.2861,3.2278,4.2313,,,TCGA-77-A5GA-01,10.3925,8.8556,9.3867,12.3831,7.6478,9.5496,9.5484,7.8547
GTEX-X4XX-1026-SM-4QARO,7.2038,6.1378,9.131,11.6779,8.8907,9.2375,5.7588,5.0677,,,TCGA-NC-A5HM-01,9.9087,8.1441,9.9557,11.8127,8.8626,8.782,9.6427,8.1065
GTEX-ZUA1-1026-SM-4YCEA,7.3423,5.9113,9.8819,10.6615,8.657,8.4821,8.5058,6.5579,,,TCGA-21-1072-01,8.9564,8.2498,10.7179,11.8735,8.781,10.5243,9.9318,8.0397
GTEX-111CU-0326-SM-5GZXO,6.4754,7.4493,10.5056,12.5263,7.6385,10.2174,3.5847,3.9352,,,TCGA-21-1083-01,10.1462,8.6953,11.0291,11.4897,9.3218,10.6545,8.5174,8.0081
GTEX-ZAB5-0626-SM-5PNVB,6.0851,5.4956,8.9673,11.4818,8.449,9.0315,4.9489,2.7425,,,TCGA-22-4607-01,10.5233,9.5376,10.9138,11.4708,8.7109,10.1803,9.5755,8.4816
GTEX-PLZ6-0426-SM-5IJDW,8.5165,6.8079,9.0915,11.2881,8.1767,9.045,5.7888,5.8518,,,TCGA-22-5471-01,10.3834,8.739,9.2525,12.1846,7.8648,11.0412,9.3087,6.9546
GTEX-13OW6-0826-SM-5L3GA,7.4174,7.1139,9.9582,11.9562,9.2388,9.1627,4.1591,4.2602,,,TCGA-34-5239-01,9.4051,9.4222,10.0328,11.2724,9.2874,9.6141,9.4141,8.6759
GTEX-WOFM-0126-SM-3MJFE,7.5537,6.2244,9.4087,11.2265,7.8042,9.1166,5.113,6.0209,,,TCGA-39-5028-01,7.7432,8.027,9.564,10.5486,9.2792,9.2614,7.278,7.0893
GTEX-131XE-0726-SM-5HL9K,7.8194,7.0813,9.1229,11.9666,8.905,9.0707,3.0938,2.591,,,TCGA-56-7822-01,8.1286,7.3407,9.9997,10.8679,8.174,9.2847,7.9451,6.8453
GTEX-OOBK-0526-SM-2HMJJ,7.9574,6.8269,9.4383,12.292,8.4191,9.335,3.9706,4.5549,,,TCGA-58-8386-01,10.5132,8.3329,9.4764,12.7691,7.1886,9.0175,9.5564,7.2078
GTEX-11EQ9-0226-SM-5A5JX,7.5094,7.1584,9.2125,11.6585,8.0198,9.457,4.8033,5.2968,,,TCGA-66-2769-01,9.2696,7.5159,9.818,10.9872,10.9474,10.0914,8.545,7.7159
GTEX-ZDTT-0926-SM-5J2MS,7.8675,6.024,8.9573,11.5939,7.6097,9.1664,4.0446,4.5048,,,TCGA-77-7463-01,9.6966,9.3934,9.9,10.5628,7.7259,9.7148,9.0742,8.6799
GTEX-WHSB-0326-SM-5FQSD,8.3949,6.178,8.6433,11.2925,7.5985,8.6509,5.3855,4.728,,,TCGA-77-A5G1-01,8.3197,7.0962,10.4287,11.6372,8.018,9.8854,7.7724,8.2649
GTEX-111YS-0626-SM-5GZXV,7.8729,4.7248,9.3838,11.4601,7.8106,9.2676,3.5924,2.933,,,TCGA-18-3409-01,8.845,6.9068,9.906,10.3253,9.0251,9.9242,6.8969,6.5022
GTEX-11LCK-0426-SM-5A5M8,7.6558,5.8513,9.3657,11.4276,8.0231,9.2619,4.0668,4.6533,,,TCGA-18-4721-01,8.5502,7.5689,8.9668,11.3992,8.5347,9.8447,10.1007,6.4961
GTEX-14E7W-1326-SM-5RQIV,6.9856,7.4033,9.7479,11.1788,8.6238,8.6488,5.3105,4.0421,,,TCGA-22-5474-01,9.1532,8.4725,9.9545,11.7726,8.4636,10.1132,8.3942,8.4463
GTEX-QXCU-0626-SM-2TC69,8.0643,7.4024,9.7909,11.9905,8.7541,9.3295,3.5368,4.5685,,,TCGA-22-5483-01,11.3575,9.2213,10.7549,11.5634,8.9873,10.5819,9.247,9.2358
