,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-U4B1-0008-SM-4DXUW,5.2559,1.1129,9.2479,11.3532,7.2376,9.2787,7.5017,2.1662,,,TCGA-XV-A9W5-01,11.1575,9.008,9.2895,11.0166,8.7252,9.3253,8.3188,8.7173
GTEX-P4PQ-0008-SM-48TDX,6.4247,4.6197,9.2736,10.9676,6.7565,8.8896,7.1549,4.6197,,,TCGA-EB-A42Z-01,10.0946,8.1929,10.5973,11.3174,7.9911,9.5373,8.2944,6.0569
GTEX-11O72-0008-SM-5Q5DN,8.0512,6.7462,9.8366,11.151,7.2037,9.2199,7.3988,6.0376,,,TCGA-EB-A1NK-01,10.8606,8.9223,10.0645,11.6493,8.9662,9.3473,7.3659,5.3525
GTEX-S7PM-0008-SM-3NM9Q,5.637,1.6706,10.1128,11.8395,7.8686,10.1587,7.2446,1.9676,,,TCGA-GF-A2C7-01,10.8525,9.0542,11.9145,10.7909,7.9543,10.1574,9.2063,6.5114
GTEX-Y8DK-0008-SM-4RGM2,7.6796,5.2819,10.0053,11.044,7.451,9.0269,7.4868,5.9615,,,TCGA-D3-A5GT-01,10.1991,8.4339,11.7651,10.8365,9.1015,9.2056,8.1463,5.4271
GTEX-OOBK-0008-SM-3NB27,5.5111,2.0975,10.0023,11.6457,8.3984,10.0218,8.1383,1.8575,,,TCGA-FS-A1ZN-01,8.9755,7.3499,10.1198,10.9896,6.7935,9.4593,8.5461,7.0118
GTEX-UTHO-0008-SM-4JBID,6.2803,4.7078,9.8377,11.1466,7.5494,8.8824,6.0691,4.4702,,,TCGA-GF-A769-01,10.377,8.8328,10.5037,10.4699,7.1712,10.2614,8.8524,8.2602
GTEX-X3Y1-0008-SM-4PR12,8.0208,6.3088,9.9092,11.3713,7.1546,9.0358,8.2951,6.3795,,,TCGA-EB-A3HV-01,9.7143,8.8596,9.0068,11.165,6.0237,8.8143,7.8914,6.1723
GTEX-12WSH-0008-SM-5S2V1,5.4369,1.9107,9.6855,11.319,7.8504,9.2871,6.8806,0.9411,,,TCGA-EB-A431-01,11.3143,9.2627,11.836,11.1926,8.4396,9.8514,10.0447,7.0031
GTEX-QLQ7-0008-SM-447AW,5.4732,0,9.5569,11.3909,7.3941,9.1401,7.1703,2.2724,,,TCGA-GN-A263-01,10.2307,7.005,10.688,9.7994,7.4175,10.3127,8.9112,6.6012
GTEX-1192X-0008-SM-5Q5B7,8.4509,7.0382,9.9828,11.1884,7.0702,8.8472,8.1367,6.5112,,,TCGA-HR-A5NC-01,9.5448,6.8228,11.5082,11.0322,7.9486,9.5448,6.6006,5.3397
GTEX-QV31-0008-SM-447AT,4.9532,1.0501,9.8058,12.045,7.4287,9.669,6.7841,0,,,TCGA-XV-A9VZ-01,9.3535,8.2144,10.375,11.1803,8.6283,9.4822,7.2335,7.3937
GTEX-R55E-0008-SM-48FCG,7.8054,5.6843,9.6235,11.1677,6.753,9.28,7.8255,5.6545,,,TCGA-EB-A3Y7-01,11.0308,10.3278,9.1227,10.9279,4.5709,9.313,8.1082,6.0641
GTEX-PLZ6-0008-SM-48TD5,4.9234,1.0342,9.7784,11.8329,8.1376,9.7684,7.1965,1.0342,,,TCGA-BF-A3DL-01,9.6958,8.3264,9.9552,11.9085,6.7607,8.8796,7.2224,5.7857
GTEX-SJXC-0008-SM-4DM7G,7.427,5.5064,9.3658,11.124,7.3091,8.8156,7.7313,5.8475,,,TCGA-BF-A3DN-01,9.65,7.4165,9.9916,11.1612,6.9063,9.7418,8.2845,6.9602
GTEX-WVJS-0008-SM-4MVPC,8.4072,6.7769,9.928,11.2823,7.3171,8.9493,8.5839,6.7385,,,TCGA-ER-A19K-01,10.4262,8.672,10.2465,10.7973,7.8422,9.891,10.1823,6.298
GTEX-Y5V6-0008-SM-4V6FV,9.3112,7.6549,10.0012,11.3743,6.6316,9.0741,8.7194,7.2734,,,TCGA-EB-A551-01,9.3622,9.1396,11.6748,11.4117,9.8598,10.0258,9.211,7.3988
GTEX-ZDXO-0008-SM-4E3HR,7.5999,5.9873,9.753,11.3993,7.49,9.4378,7.6069,5.0517,,,TCGA-EB-A5SF-01,10.932,8.7713,8.3221,11.5456,5.51,7.4565,5.6186,4.34
GTEX-12126-0008-SM-5S2UC,9.347,7.7398,10.0841,11.5112,7.7235,9.0928,8.9066,7.7398,,,TCGA-EB-A3XE-01,9.1289,6.9095,9.0133,11.2133,6.7552,9.4299,5.0864,4.8102
