samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,7.4104
,,,,,,,,,,,,,,,,,,,,,,,,,5.6
,,,,,,,,,,,,,,,,,,,,,,,,,7.6308
,,,,,,,,,,,,,,,,,,,,,,,,,9.5587
,,,,,,,,,,,,,,,,,,,,,,,,,9.7112
,,,,,,,,,,,,,,,,,,,,,,,,,8.5959
,,,,,,,,,,,,,,,,,,,,,,,,,9.0424
,,,,,,,,,,,,,,,,,,,,,,,,,7.8872
,,,,,,,,,,,,,,,,,,,,,,,,,4.4308
,,,,,,,,,,,,,,,,,,,,,,,,,7.5374
,,,,,,,,,,,,,,,,,,,,,,,,,6.5924
,,,,,,,,,,,,,,,,,,,,,,,,,7.5227
,,,,,,,,,,,,,,,,,,,,,,,,,8.7734
,,,,,,,,,,,,,,,,,,,,,,,,,7.2273
,,,,,,,,,,,,,,,,,,,,,,,,,7.7547
,,,,,,,,,,,,,,,,,,,,,,,,,4.8598
,,,,,,,,,,,,,,,,,,,,,,,,,6.3938
,,,,,,,,,,,,,,,,,,,,,,,,,8.2299
,,,,,,,,,,,,,,,,,,,,,,,,,7.2
,,,,,,,,,,,,,,,,,,,,,,,,,6.6195
,,,,,,,,,,,,,,,,,,,,,,,,,4.3668
,,,,,,,,,,,,,,,,,,,,,,,,,8.1384
,,,,,,,,,,,,,,,,,,,,,,,,,6.7313
,,,,,,,,,,,,,,,,,,,,,,,,,6.5668
,,,,,,,,,,,,,,,,,,,,,,,,,5.5477
,,,,,,,,,,,,,,,,,,,,,,,,,6.2264
,,,,,,,,,,,,,,,,,,,,,,,,,6.602
,,,,,,,,,,,,,,,,,,,,,,,,,8.5686
,,,,,,,,,,,,,,,,,,,,,,,,,4.157
,,,,,,,,,,,,,,,,,,,,,,,,,6.5077
,,,,,,,,,,,,,,,,,,,,,,,,,7.8472
,,,,,,,,,,,,,,,,,,,,,,,,,4.8107
,,,,,,,,,,,,,,,,,,,,,,,,,7.6138
,,,,,,,,,,,,,,,,,,,,,,,,,8.7335
,,,,,,,,,,,,,,,,,,,,,,,,,6.612
,,,,,,,,,,,,,,,,,,,,,,,,,5.621
,,,,,,,,,,,,,,,,,,,,,,,,,8.0609
,,,,,,,,,,,,,,,,,,,,,,,,,4.907
,,,,,,,,,,,,,,,,,,,,,,,,,8.0886
,,,,,,,,,,,,,,,,,,,,,,,,,7.6294
,,,,,,,,,,,,,,,,,,,,,,,,,7.0122
,,,,,,,,,,,,,,,,,,,,,,,,,7.5464
,,,,,,,,,,,,,,,,,,,,,,,,,8.3668
,,,,,,,,,,,,,,,,,,,,,,,,,6.6744
,,,,,,,,,,,,,,,,,,,,,,,,,4.403
,,,,,,,,,,,,,,,,,,,,,,,,,9.0746
,,,,,,,,,,,,,,,,,,,,,,,,,8.7362
,,,,,,,,,,,,,,,,,,,,,,,,,9.3649
,,,,,,,,,,,,,,,,,,,,,,,,,6.5898
,,,,,,,,,,,,,,,,,,,,,,,,,4.3958
,,,,,,,,,,,,,,,,,,,,,,,,,8.588813008
,,,,,,,,,,,,,,,,,,,,,,,,,7.6323
,,,,,,,,,,,,,,,,,,,,,,,,,6.3852
,,,,,,,,,,,,,,,,,,,,,,,,,4.8178
,,,,,,,,,,,,,,,,,,,,,,,,,8.4908
,,,,,,,,,,,,,,,,,,,,,,,,,7.0115
,,,,,,,,,,,,,,,,,,,,,,,,,7.1568
,,,,,,,,,,,,,,,,,,,,,,,,,7.8691
,,,,,,,,,,,,,,,,,,,,,,,,,8.1085
,,,,,,,,,,,,,,,,,,,,,,,,,9.3233
,,,,,,,,,,,,,,,,,,,,,,,,,8.4467
,,,,,,,,,,,,,,,,,,,,,,,,,3.7662
,,,,,,,,,,,,,,,,,,,,,,,,,8.1387
,,,,,,,,,,,,,,,,,,,,,,,,,7.4567
,,,,,,,,,,,,,,,,,,,,,,,,,4.4463
,,,,,,,,,,,,,,,,,,,,,,,,,9.934
,,,,,,,,,,,,,,,,,,,,,,,,,8.2038
,,,,,,,,,,,,,,,,,,,,,,,,,7.5715
,,,,,,,,,,,,,,,,,,,,,,,,,7.7157
,,,,,,,,,,,,,,,,,,,,,,,,,7.4349
,,,,,,,,,,,,,,,,,,,,,,,,,2.905
,,,,,,,,,,,,,,,,,,,,,,,,,8.5427
,,,,,,,,,,,,,,,,,,,,,,,,,8.2489
,,,,,,,,,,,,,,,,,,,,,,,,,6.7565
,,,,,,,,,,,,,,,,,,,,,,,,,6.3692
,,,,,,,,,,,,,,,,,,,,,,,,,7.1399
,,,,,,,,,,,,,,,,,,,,,,,,,9.0886
,,,,,,,,,,,,,,,,,,,,,,,,,8.0147
,,,,,,,,,,,,,,,,,,,,,,,,,7.9963
,,,,,,,,,,,,,,,,,,,,,,,,,7.0897
,,,,,,,,,,,,,,,,,,,,,,,,,8.8147
,,,,,,,,,,,,,,,,,,,,,,,,,7.3342
,,,,,,,,,,,,,,,,,,,,,,,,,6.698
,,,,,,,,,,,,,,,,,,,,,,,,,6.9523
,,,,,,,,,,,,,,,,,,,,,,,,,5.7527
,,,,,,,,,,,,,,,,,,,,,,,,,8.5513
,,,,,,,,,,,,,,,,,,,,,,,,,6.9419
,,,,,,,,,,,,,,,,,,,,,,,,,7.1073
,,,,,,,,,,,,,,,,,,,,,,,,,7.6129
,,,,,,,,,,,,,,,,,,,,,,,,,8.461
,,,,,,,,,,,,,,,,,,,,,,,,,9.0219
,,,,,,,,,,,,,,,,,,,,,,,,,6.8823
,,,,,,,,,,,,,,,,,,,,,,,,,5.6396
,,,,,,,,,,,,,,,,,,,,,,,,,8.3683
,,,,,,,,,,,,,,,,,,,,,,,,,7.4654
,,,,,,,,,,,,,,,,,,,,,,,,,7.4059
,,,,,,,,,,,,,,,,,,,,,,,,,6.0262
,,,,,,,,,,,,,,,,,,,,,,,,,8.1748
,,,,,,,,,,,,,,,,,,,,,,,,,9.0317
,,,,,,,,,,,,,,,,,,,,,,,,,8.4527
,,,,,,,,,,,,,,,,,,,,,,,,,5.6897
,,,,,,,,,,,,,,,,,,,,,,,,,8.9207
,,,,,,,,,,,,,,,,,,,,,,,,,5.6576
,,,,,,,,,,,,,,,,,,,,,,,,,6.627601826
,,,,,,,,,,,,,,,,,,,,,,,,,5.8981
,,,,,,,,,,,,,,,,,,,,,,,,,5.4316
,,,,,,,,,,,,,,,,,,,,,,,,,7.8276
,,,,,,,,,,,,,,,,,,,,,,,,,7.2801
,,,,,,,,,,,,,,,,,,,,,,,,,6.4455
,,,,,,,,,,,,,,,,,,,,,,,,,6.2482
,,,,,,,,,,,,,,,,,,,,,,,,,5.7432
,,,,,,,,,,,,,,,,,,,,,,,,,6.5677
,,,,,,,,,,,,,,,,,,,,,,,,,5.3795
,,,,,,,,,,,,,,,,,,,,,,,,,7.6074
,,,,,,,,,,,,,,,,,,,,,,,,,6.2376
,,,,,,,,,,,,,,,,,,,,,,,,,6.5279
,,,,,,,,,,,,,,,,,,,,,,,,,6.1297
,,,,,,,,,,,,,,,,,,,,,,,,,8.2097
,,,,,,,,,,,,,,,,,,,,,,,,,8.4001
,,,,,,,,,,,,,,,,,,,,,,,,,3.97
,,,,,,,,,,,,,,,,,,,,,,,,,5.7253
,,,,,,,,,,,,,,,,,,,,,,,,,7.308
,,,,,,,,,,,,,,,,,,,,,,,,,9.4152
,,,,,,,,,,,,,,,,,,,,,,,,,7.6646
,,,,,,,,,,,,,,,,,,,,,,,,,6.7618
,,,,,,,,,,,,,,,,,,,,,,,,,2.8935
,,,,,,,,,,,,,,,,,,,,,,,,,8.8894
,,,,,,,,,,,,,,,,,,,,,,,,,4.3368
,,,,,,,,,,,,,,,,,,,,,,,,,5.0451
,,,,,,,,,,,,,,,,,,,,,,,,,4.4848
,,,,,,,,,,,,,,,,,,,,,,,,,4.4866
,,,,,,,,,,,,,,,,,,,,,,,,,9.6179
,,,,,,,,,,,,,,,,,,,,,,,,,7.3972
,,,,,,,,,,,,,,,,,,,,,,,,,7.0045
,,,,,,,,,,,,,,,,,,,,,,,,,8.3808
,,,,,,,,,,,,,,,,,,,,,,,,,5.745
,,,,,,,,,,,,,,,,,,,,,,,,,8.1812
,,,,,,,,,,,,,,,,,,,,,,,,,7.8088
,,,,,,,,,,,,,,,,,,,,,,,,,6.5512
,,,,,,,,,,,,,,,,,,,,,,,,,7.3661
,,,,,,,,,,,,,,,,,,,,,,,,,6.3175
,,,,,,,,,,,,,,,,,,,,,,,,,8.9809
,,,,,,,,,,,,,,,,,,,,,,,,,7.6073
,,,,,,,,,,,,,,,,,,,,,,,,,6.4545
,,,,,,,,,,,,,,,,,,,,,,,,,7.3435
,,,,,,,,,,,,,,,,,,,,,,,,,8.398255065
,,,,,,,,,,,,,,,,,,,,,,,,,7.9227
,,,,,,,,,,,,,,,,,,,,,,,,,6.7528
,,,,,,,,,,,,,,,,,,,,,,,,,5.7969
,,,,,,,,,,,,,,,,,,,,,,,,,7.9327
,,,,,,,,,,,,,,,,,,,,,,,,,6.9264
,,,,,,,,,,,,,,,,,,,,,,,,,8.2161
,,,,,,,,,,,,,,,,,,,,,,,,,5.9529
,,,,,,,,,,,,,,,,,,,,,,,,,7.4858
,,,,,,,,,,,,,,,,,,,,,,,,,9.266
,,,,,,,,,,,,,,,,,,,,,,,,,6.6877
,,,,,,,,,,,,,,,,,,,,,,,,,8.1587
,,,,,,,,,,,,,,,,,,,,,,,,,7.3426
,,,,,,,,,,,,,,,,,,,,,,,,,9.0517
,,,,,,,,,,,,,,,,,,,,,,,,,7.3853
,,,,,,,,,,,,,,,,,,,,,,,,,8.6931
,,,,,,,,,,,,,,,,,,,,,,,,,4.907
,,,,,,,,,,,,,,,,,,,,,,,,,5.2187
,,,,,,,,,,,,,,,,,,,,,,,,,7.0768
,,,,,,,,,,,,,,,,,,,,,,,,,8.3307
,,,,,,,,,,,,,,,,,,,,,,,,,6.203
,,,,,,,,,,,,,,,,,,,,,,,,,6.9775
,,,,,,,,,,,,,,,,,,,,,,,,,6.4939
,,,,,,,,,,,,,,,,,,,,,,,,,7.4302
,,,,,,,,,,,,,,,,,,,,,,,,,5.6216
,,,,,,,,,,,,,,,,,,,,,,,,,6.1611
,,,,,,,,,,,,,,,,,,,,,,,,,8.7766
,,,,,,,,,,,,,,,,,,,,,,,,,6.7198
,,,,,,,,,,,,,,,,,,,,,,,,,9.2964
,,,,,,,,,,,,,,,,,,,,,,,,,7.3648
,,,,,,,,,,,,,,,,,,,,,,,,,6.3059
,,,,,,,,,,,,,,,,,,,,,,,,,7.0111
,,,,,,,,,,,,,,,,,,,,,,,,,8.2911
,,,,,,,,,,,,,,,,,,,,,,,,,7.2758
,,,,,,,,,,,,,,,,,,,,,,,,,8.5783
,,,,,,,,,,,,,,,,,,,,,,,,,7.9596
,,,,,,,,,,,,,,,,,,,,,,,,,7.3459
,,,,,,,,,,,,,,,,,,,,,,,,,7.9852
,,,,,,,,,,,,,,,,,,,,,,,,,5.8481
,,,,,,,,,,,,,,,,,,,,,,,,,6.9246
,,,,,,,,,,,,,,,,,,,,,,,,,8.9274
,,,,,,,,,,,,,,,,,,,,,,,,,5.8256
,,,,,,,,,,,,,,,,,,,,,,,,,7.2207
,,,,,,,,,,,,,,,,,,,,,,,,,8.4541
,,,,,,,,,,,,,,,,,,,,,,,,,6.0761
,,,,,,,,,,,,,,,,,,,,,,,,,9.1216
,,,,,,,,,,,,,,,,,,,,,,,,,8.4436
,,,,,,,,,,,,,,,,,,,,,,,,,6.3626
,,,,,,,,,,,,,,,,,,,,,,,,,6.5503
,,,,,,,,,,,,,,,,,,,,,,,,,7.8552
,,,,,,,,,,,,,,,,,,,,,,,,,7.7154
,,,,,,,,,,,,,,,,,,,,,,,,,9.304
,,,,,,,,,,,,,,,,,,,,,,,,,7.9788
,,,,,,,,,,,,,,,,,,,,,,,,,7.9121
,,,,,,,,,,,,,,,,,,,,,,,,,9.8426
,,,,,,,,,,,,,,,,,,,,,,,,,7.2586
,,,,,,,,,,,,,,,,,,,,,,,,,5.4994
,,,,,,,,,,,,,,,,,,,,,,,,,7.4264
,,,,,,,,,,,,,,,,,,,,,,,,,9.185
,,,,,,,,,,,,,,,,,,,,,,,,,8.2373
,,,,,,,,,,,,,,,,,,,,,,,,,5.1015
,,,,,,,,,,,,,,,,,,,,,,,,,6.4437
,,,,,,,,,,,,,,,,,,,,,,,,,5.8224
,,,,,,,,,,,,,,,,,,,,,,,,,8.3353
,,,,,,,,,,,,,,,,,,,,,,,,,7.2252
,,,,,,,,,,,,,,,,,,,,,,,,,7.403
,,,,,,,,,,,,,,,,,,,,,,,,,7.3794
,,,,,,,,,,,,,,,,,,,,,,,,,9.3015
,,,,,,,,,,,,,,,,,,,,,,,,,6.7795
,,,,,,,,,,,,,,,,,,,,,,,,,5.4196
,,,,,,,,,,,,,,,,,,,,,,,,,6.1997
,,,,,,,,,,,,,,,,,,,,,,,,,4.96
,,,,,,,,,,,,,,,,,,,,,,,,,3.6541
,,,,,,,,,,,,,,,,,,,,,,,,,6.8689
,,,,,,,,,,,,,,,,,,,,,,,,,3.5938
,,,,,,,,,,,,,,,,,,,,,,,,,8.5998
,,,,,,,,,,,,,,,,,,,,,,,,,7.6281
,,,,,,,,,,,,,,,,,,,,,,,,,7.9996
,,,,,,,,,,,,,,,,,,,,,,,,,8.3265
,,,,,,,,,,,,,,,,,,,,,,,,,3.6011
,,,,,,,,,,,,,,,,,,,,,,,,,8.7733
,,,,,,,,,,,,,,,,,,,,,,,,,6.1
,,,,,,,,,,,,,,,,,,,,,,,,,8.1785
,,,,,,,,,,,,,,,,,,,,,,,,,8.8922
,,,,,,,,,,,,,,,,,,,,,,,,,6.4138
,,,,,,,,,,,,,,,,,,,,,,,,,8.5879
,,,,,,,,,,,,,,,,,,,,,,,,,8.7966
,,,,,,,,,,,,,,,,,,,,,,,,,7.8075
,,,,,,,,,,,,,,,,,,,,,,,,,6.2719
,,,,,,,,,,,,,,,,,,,,,,,,,5.901
,,,,,,,,,,,,,,,,,,,,,,,,,6.1898
,,,,,,,,,,,,,,,,,,,,,,,,,5.5113
,,,,,,,,,,,,,,,,,,,,,,,,,7.2047
,,,,,,,,,,,,,,,,,,,,,,,,,8.2879
,,,,,,,,,,,,,,,,,,,,,,,,,5.8968
,,,,,,,,,,,,,,,,,,,,,,,,,8.6194
,,,,,,,,,,,,,,,,,,,,,,,,,6.8346
,,,,,,,,,,,,,,,,,,,,,,,,,9.5329
,,,,,,,,,,,,,,,,,,,,,,,,,8.0259
,,,,,,,,,,,,,,,,,,,,,,,,,8.4238
,,,,,,,,,,,,,,,,,,,,,,,,,8.6695
,,,,,,,,,,,,,,,,,,,,,,,,,6.9621
,,,,,,,,,,,,,,,,,,,,,,,,,6.2024
,,,,,,,,,,,,,,,,,,,,,,,,,10.5957
,,,,,,,,,,,,,,,,,,,,,,,,,7.1729
,,,,,,,,,,,,,,,,,,,,,,,,,8.5472
,,,,,,,,,,,,,,,,,,,,,,,,,7.1069
,,,,,,,,,,,,,,,,,,,,,,,,,6.9108
,,,,,,,,,,,,,,,,,,,,,,,,,8.7102
,,,,,,,,,,,,,,,,,,,,,,,,,6.9903
,,,,,,,,,,,,,,,,,,,,,,,,,7.267
,,,,,,,,,,,,,,,,,,,,,,,,,7.5995
,,,,,,,,,,,,,,,,,,,,,,,,,8.2281
,,,,,,,,,,,,,,,,,,,,,,,,,9.9919
,,,,,,,,,,,,,,,,,,,,,,,,,8.8915
,,,,,,,,,,,,,,,,,,,,,,,,,9.0836
,,,,,,,,,,,,,,,,,,,,,,,,,7.4038
,,,,,,,,,,,,,,,,,,,,,,,,,7.2176
,,,,,,,,,,,,,,,,,,,,,,,,,8.3414
,,,,,,,,,,,,,,,,,,,,,,,,,8.4333
,,,,,,,,,,,,,,,,,,,,,,,,,6.7195
,,,,,,,,,,,,,,,,,,,,,,,,,8.3534
,,,,,,,,,,,,,,,,,,,,,,,,,7.123
,,,,,,,,,,,,,,,,,,,,,,,,,7.5227
,,,,,,,,,,,,,,,,,,,,,,,,,3.5405
,,,,,,,,,,,,,,,,,,,,,,,,,5.8137
,,,,,,,,,,,,,,,,,,,,,,,,,8.6069
,,,,,,,,,,,,,,,,,,,,,,,,,8.779
,,,,,,,,,,,,,,,,,,,,,,,,,5.0556
,,,,,,,,,,,,,,,,,,,,,,,,,7.665183649
,,,,,,,,,,,,,,,,,,,,,,,,,8.894
,,,,,,,,,,,,,,,,,,,,,,,,,8.0036
,,,,,,,,,,,,,,,,,,,,,,,,,8.9554
,,,,,,,,,,,,,,,,,,,,,,,,,7.0702
,,,,,,,,,,,,,,,,,,,,,,,,,6.2653
,,,,,,,,,,,,,,,,,,,,,,,,,7.6754
,,,,,,,,,,,,,,,,,,,,,,,,,5.9629
,,,,,,,,,,,,,,,,,,,,,,,,,5.7709
,,,,,,,,,,,,,,,,,,,,,,,,,9.6758
,,,,,,,,,,,,,,,,,,,,,,,,,7.2635
,,,,,,,,,,,,,,,,,,,,,,,,,5.9573
,,,,,,,,,,,,,,,,,,,,,,,,,8.6029
,,,,,,,,,,,,,,,,,,,,,,,,,8.9563
,,,,,,,,,,,,,,,,,,,,,,,,,8.3389
,,,,,,,,,,,,,,,,,,,,,,,,,6.5009
,,,,,,,,,,,,,,,,,,,,,,,,,8.5547
,,,,,,,,,,,,,,,,,,,,,,,,,7.6275
,,,,,,,,,,,,,,,,,,,,,,,,,8.3462
,,,,,,,,,,,,,,,,,,,,,,,,,8.1389
,,,,,,,,,,,,,,,,,,,,,,,,,8.3768
,,,,,,,,,,,,,,,,,,,,,,,,,10.4101
,,,,,,,,,,,,,,,,,,,,,,,,,6.0434
,,,,,,,,,,,,,,,,,,,,,,,,,7.5479
,,,,,,,,,,,,,,,,,,,,,,,,,9.0654
,,,,,,,,,,,,,,,,,,,,,,,,,7.9495
,,,,,,,,,,,,,,,,,,,,,,,,,8.8634
,,,,,,,,,,,,,,,,,,,,,,,,,9.513
,,,,,,,,,,,,,,,,,,,,,,,,,8.8124
,,,,,,,,,,,,,,,,,,,,,,,,,8.2323
,,,,,,,,,,,,,,,,,,,,,,,,,7.8245
,,,,,,,,,,,,,,,,,,,,,,,,,8.6618
,,,,,,,,,,,,,,,,,,,,,,,,,7.8724
,,,,,,,,,,,,,,,,,,,,,,,,,9.1195
,,,,,,,,,,,,,,,,,,,,,,,,,5.2035
,,,,,,,,,,,,,,,,,,,,,,,,,7.7322
,,,,,,,,,,,,,,,,,,,,,,,,,5.3628
,,,,,,,,,,,,,,,,,,,,,,,,,9.141
,,,,,,,,,,,,,,,,,,,,,,,,,3.6319
,,,,,,,,,,,,,,,,,,,,,,,,,5.4017
,,,,,,,,,,,,,,,,,,,,,,,,,7.4238
,,,,,,,,,,,,,,,,,,,,,,,,,6.9035
,,,,,,,,,,,,,,,,,,,,,,,,,7.3321
,,,,,,,,,,,,,,,,,,,,,,,,,8.2773
,,,,,,,,,,,,,,,,,,,,,,,,,5.388734701
,,,,,,,,,,,,,,,,,,,,,,,,,6.9323
,,,,,,,,,,,,,,,,,,,,,,,,,6.7373
,,,,,,,,,,,,,,,,,,,,,,,,,7.7704
,,,,,,,,,,,,,,,,,,,,,,,,,9.1382
,,,,,,,,,,,,,,,,,,,,,,,,,6.324
,,,,,,,,,,,,,,,,,,,,,,,,,7.1199
,,,,,,,,,,,,,,,,,,,,,,,,,5.8635
,,,,,,,,,,,,,,,,,,,,,,,,,7.8938
,,,,,,,,,,,,,,,,,,,,,,,,,4.631
,,,,,,,,,,,,,,,,,,,,,,,,,7.5027
,,,,,,,,,,,,,,,,,,,,,,,,,5.8101
,,,,,,,,,,,,,,,,,,,,,,,,,7.2218
,,,,,,,,,,,,,,,,,,,,,,,,,8.2008
,,,,,,,,,,,,,,,,,,,,,,,,,7.5196
,,,,,,,,,,,,,,,,,,,,,,,,,8.2354
,,,,,,,,,,,,,,,,,,,,,,,,,10.0965
,,,,,,,,,,,,,,,,,,,,,,,,,5.8489
,,,,,,,,,,,,,,,,,,,,,,,,,7.0502
,,,,,,,,,,,,,,,,,,,,,,,,,7.4117
,,,,,,,,,,,,,,,,,,,,,,,,,5.5503
,,,,,,,,,,,,,,,,,,,,,,,,,5.9474
,,,,,,,,,,,,,,,,,,,,,,,,,6.885
,,,,,,,,,,,,,,,,,,,,,,,,,7.3416
,,,,,,,,,,,,,,,,,,,,,,,,,7.1323
,,,,,,,,,,,,,,,,,,,,,,,,,7.6231
,,,,,,,,,,,,,,,,,,,,,,,,,6.4272
,,,,,,,,,,,,,,,,,,,,,,,,,7.0886
,,,,,,,,,,,,,,,,,,,,,,,,,9.1213
,,,,,,,,,,,,,,,,,,,,,,,,,6.5696
,,,,,,,,,,,,,,,,,,,,,,,,,8.5147
,,,,,,,,,,,,,,,,,,,,,,,,,7.4084
,,,,,,,,,,,,,,,,,,,,,,,,,7.8548
,,,,,,,,,,,,,,,,,,,,,,,,,8.494767311
,,,,,,,,,,,,,,,,,,,,,,,,,9.3774
,,,,,,,,,,,,,,,,,,,,,,,,,4.5484
,,,,,,,,,,,,,,,,,,,,,,,,,9.5538
,,,,,,,,,,,,,,,,,,,,,,,,,8.4599
,,,,,,,,,,,,,,,,,,,,,,,,,6.5074
,,,,,,,,,,,,,,,,,,,,,,,,,4.5648
,,,,,,,,,,,,,,,,,,,,,,,,,8.0464
,,,,,,,,,,,,,,,,,,,,,,,,,5.3971
,,,,,,,,,,,,,,,,,,,,,,,,,6.1113
,,,,,,,,,,,,,,,,,,,,,,,,,8.5536
,,,,,,,,,,,,,,,,,,,,,,,,,5.4893
,,,,,,,,,,,,,,,,,,,,,,,,,6.7918
,,,,,,,,,,,,,,,,,,,,,,,,,8.6405
,,,,,,,,,,,,,,,,,,,,,,,,,9.5321
,,,,,,,,,,,,,,,,,,,,,,,,,8.0983
,,,,,,,,,,,,,,,,,,,,,,,,,8.1158
,,,,,,,,,,,,,,,,,,,,,,,,,7.8516
,,,,,,,,,,,,,,,,,,,,,,,,,7.2008
,,,,,,,,,,,,,,,,,,,,,,,,,2.5627
,,,,,,,,,,,,,,,,,,,,,,,,,6.3941
,,,,,,,,,,,,,,,,,,,,,,,,,9.7808
,,,,,,,,,,,,,,,,,,,,,,,,,5.6473
,,,,,,,,,,,,,,,,,,,,,,,,,6.1084
,,,,,,,,,,,,,,,,,,,,,,,,,9.6427
,,,,,,,,,,,,,,,,,,,,,,,,,8.7165
,,,,,,,,,,,,,,,,,,,,,,,,,6.2621
,,,,,,,,,,,,,,,,,,,,,,,,,8.489048848
,,,,,,,,,,,,,,,,,,,,,,,,,5.4732
,,,,,,,,,,,,,,,,,,,,,,,,,9.0782
,,,,,,,,,,,,,,,,,,,,,,,,,7.9907
,,,,,,,,,,,,,,,,,,,,,,,,,8.6157
,,,,,,,,,,,,,,,,,,,,,,,,,9.2131
,,,,,,,,,,,,,,,,,,,,,,,,,7.6178
,,,,,,,,,,,,,,,,,,,,,,,,,5.3091
,,,,,,,,,,,,,,,,,,,,,,,,,7.0531
,,,,,,,,,,,,,,,,,,,,,,,,,6.8183
,,,,,,,,,,,,,,,,,,,,,,,,,6.2066
,,,,,,,,,,,,,,,,,,,,,,,,,4.0615
,,,,,,,,,,,,,,,,,,,,,,,,,4.5185
,,,,,,,,,,,,,,,,,,,,,,,,,4.8031
,,,,,,,,,,,,,,,,,,,,,,,,,6.9312
,,,,,,,,,,,,,,,,,,,,,,,,,4.3211
,,,,,,,,,,,,,,,,,,,,,,,,,8.155
,,,,,,,,,,,,,,,,,,,,,,,,,5.3338
,,,,,,,,,,,,,,,,,,,,,,,,,6.1549
,,,,,,,,,,,,,,,,,,,,,,,,,8.4004
,,,,,,,,,,,,,,,,,,,,,,,,,4.0746
,,,,,,,,,,,,,,,,,,,,,,,,,8.1603
,,,,,,,,,,,,,,,,,,,,,,,,,6.9551
,,,,,,,,,,,,,,,,,,,,,,,,,8.4321
,,,,,,,,,,,,,,,,,,,,,,,,,7.8477
,,,,,,,,,,,,,,,,,,,,,,,,,7.5964
,,,,,,,,,,,,,,,,,,,,,,,,,7.7118
,,,,,,,,,,,,,,,,,,,,,,,,,7.7367
,,,,,,,,,,,,,,,,,,,,,,,,,6.1983
,,,,,,,,,,,,,,,,,,,,,,,,,8.5989
,,,,,,,,,,,,,,,,,,,,,,,,,9.2814
,,,,,,,,,,,,,,,,,,,,,,,,,8.8681
,,,,,,,,,,,,,,,,,,,,,,,,,7.9051
,,,,,,,,,,,,,,,,,,,,,,,,,7.8168
,,,,,,,,,,,,,,,,,,,,,,,,,8.0692
,,,,,,,,,,,,,,,,,,,,,,,,,5.7026
,,,,,,,,,,,,,,,,,,,,,,,,,8.707
,,,,,,,,,,,,,,,,,,,,,,,,,9.4097
,,,,,,,,,,,,,,,,,,,,,,,,,6.1687
,,,,,,,,,,,,,,,,,,,,,,,,,8.7897
,,,,,,,,,,,,,,,,,,,,,,,,,8.6123
,,,,,,,,,,,,,,,,,,,,,,,,,8.0382
,,,,,,,,,,,,,,,,,,,,,,,,,6.9064
,,,,,,,,,,,,,,,,,,,,,,,,,7.2594
,,,,,,,,,,,,,,,,,,,,,,,,,5.3918
,,,,,,,,,,,,,,,,,,,,,,,,,9.4784
,,,,,,,,,,,,,,,,,,,,,,,,,6.6685
,,,,,,,,,,,,,,,,,,,,,,,,,7.4547
,,,,,,,,,,,,,,,,,,,,,,,,,4.27
,,,,,,,,,,,,,,,,,,,,,,,,,5.1697
,,,,,,,,,,,,,,,,,,,,,,,,,7.2995
,,,,,,,,,,,,,,,,,,,,,,,,,6.3656
,,,,,,,,,,,,,,,,,,,,,,,,,7.7832
,,,,,,,,,,,,,,,,,,,,,,,,,8.7729
,,,,,,,,,,,,,,,,,,,,,,,,,7.9839
,,,,,,,,,,,,,,,,,,,,,,,,,5.2485
,,,,,,,,,,,,,,,,,,,,,,,,,8.6492
,,,,,,,,,,,,,,,,,,,,,,,,,8.026
,,,,,,,,,,,,,,,,,,,,,,,,,8.8095
,,,,,,,,,,,,,,,,,,,,,,,,,9.0382
,,,,,,,,,,,,,,,,,,,,,,,,,7.8552
,,,,,,,,,,,,,,,,,,,,,,,,,4.9431
,,,,,,,,,,,,,,,,,,,,,,,,,7.4039
,,,,,,,,,,,,,,,,,,,,,,,,,5.3873
,,,,,,,,,,,,,,,,,,,,,,,,,8.3594
,,,,,,,,,,,,,,,,,,,,,,,,,7.7466
,,,,,,,,,,,,,,,,,,,,,,,,,8.3695
,,,,,,,,,,,,,,,,,,,,,,,,,7.0783
,,,,,,,,,,,,,,,,,,,,,,,,,9.4613
,,,,,,,,,,,,,,,,,,,,,,,,,9.9394
,,,,,,,,,,,,,,,,,,,,,,,,,7.7923
,,,,,,,,,,,,,,,,,,,,,,,,,4.5387
,,,,,,,,,,,,,,,,,,,,,,,,,8.0313
,,,,,,,,,,,,,,,,,,,,,,,,,9.5591
,,,,,,,,,,,,,,,,,,,,,,,,,8.4246
,,,,,,,,,,,,,,,,,,,,,,,,,9.0561
,,,,,,,,,,,,,,,,,,,,,,,,,6.4613
,,,,,,,,,,,,,,,,,,,,,,,,,7.062
,,,,,,,,,,,,,,,,,,,,,,,,,7.3887
,,,,,,,,,,,,,,,,,,,,,,,,,7.5949
,,,,,,,,,,,,,,,,,,,,,,,,,9.8411
,,,,,,,,,,,,,,,,,,,,,,,,,9.6595
,,,,,,,,,,,,,,,,,,,,,,,,,7.7464
,,,,,,,,,,,,,,,,,,,,,,,,,7.2535
,,,,,,,,,,,,,,,,,,,,,,,,,7.5858
