,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-YEC3-0626-SM-5IFHZ,5.0547,0,7.3073,11.4145,8.354,9.1448,4.1752,0,,,TCGA-FB-AAPQ-01,7.7141,5.9706,10.8186,10.9906,8.2856,8.0557,8.0858,7.3424
GTEX-WHSB-0726-SM-4M1XQ,5.7204,4.3719,7.7501,11.1004,8.5717,8.9616,4.6798,2.5671,,,TCGA-HZ-7923-01,7.0807,7.1409,9.8267,11.0155,8.3234,9.4262,5.5048,6.5611
GTEX-13O61-2126-SM-5IJEO,5.2141,0,7.3356,11.3901,8.4925,9.1054,3.1741,1.5881,,,TCGA-IB-A6UG-01,8.5285,6.4748,9.2114,11.1298,9.5146,9.0143,6.2674,7.0544
GTEX-QLQW-0326-SM-447A8,4.9759,0,6.9083,11.0779,8.0187,8.7587,3.2188,1.9146,,,TCGA-IB-AAUT-01,6.476,5.4769,8.9236,10.6789,8.3078,8.7505,4.5089,4.9674
GTEX-QV31-0226-SM-447BO,5.0353,0,6.3044,10.8851,7.8629,8.5326,4.5922,0,,,TCGA-F2-7276-01,6.7552,6.2411,9.7637,11.0372,8.2809,9.3442,5.3405,6.2306
GTEX-XBED-0226-SM-47JY8,6.2549,1.505,7.501,11.3301,8.2462,9.2295,4.5272,1.505,,,TCGA-IB-7893-01,8.9111,6.5426,9.9258,10.9678,8.6812,9.1441,8.2141,7.8268
GTEX-Y8E4-1326-SM-5IFIY,4.4616,0,6.7302,11.1232,8.7947,9.2658,4.0682,1.8597,,,TCGA-US-A77G-01,8.5952,7.6466,8.262,11.3771,8.1224,8.9576,7.1968,7.5961
GTEX-ZLFU-0726-SM-57WF6,5.9402,3.8503,7.418,11.2216,8.5694,9.2218,3.8503,1.6947,,,TCGA-IB-A6UF-01,8.2414,5.5406,8.7007,11.4957,8.5123,9.1484,7.5036,6.5384
GTEX-S3XE-0526-SM-4AD4G,5.1872,1.5697,7.2346,11.1351,8.5101,9.0842,4.2262,2.7877,,,TCGA-2J-AABH-01,8.214,5.6045,9.3454,11.4455,8.0505,8.8902,7.1696,7.841
GTEX-SNOS-0926-SM-4DM7A,5.5889,3.2011,7.6715,11.3975,8.5478,9.0904,4.8918,2.8374,,,TCGA-HZ-8002-01,7.4441,5.8898,9.482,11.0511,7.9819,9.2992,6.6284,6.1128
GTEX-XQ8I-1926-SM-4BOOK,4.6183,2.6405,6.8924,11.3504,8.7875,8.7405,2.6405,0,,,TCGA-US-A776-01,9.6431,9.5639,9.5671,11.8366,8.7786,9.2281,7.7613,8.7801
GTEX-YEC3-0626-SM-4YCFE,5.3024,3.7165,8.2121,11.1716,8.378,9.2128,4.5402,2.3359,,,TCGA-IB-7646-01,9.1607,5.9518,9.648,10.8175,8.4272,8.9128,8.9026,6.529
GTEX-QDVJ-1226-SM-48U1V,7.0111,5.6579,8.4191,11.574,8.5065,9.2732,5.0628,4.1751,,,TCGA-IB-8127-01,7.9722,5.8577,10.3533,11.2466,8.8719,9.6881,6.8844,7.16
GTEX-X5EB-0526-SM-46MVP,6.0969,5.033,7.337,10.9153,8.3087,8.8679,4.8466,3.8959,,,TCGA-YB-A89D-01,7.1063,5.3552,8.7794,11.153,7.8054,8.7282,5.4976,6.0536
GTEX-Q2AI-0426-SM-48U13,6.0577,1.7059,7.1652,10.9501,8.114,8.929,3.622,0,,,TCGA-Q3-A5QY-01,8.1987,7.8483,9.5852,11.5158,8.7005,9.1028,5.1039,6.2381
GTEX-WHPG-0326-SM-4M1XV,4.6074,1.847,7.5547,11.1276,8.5402,9.0165,4.0518,3.1362,,,TCGA-3A-A9I5-01,8.9687,6.2056,9.8283,11.0155,8.6393,9.3622,5.1491,6.5533
GTEX-SUCS-1426-SM-4DM5W,6.227,2.4903,7.9549,11.0786,8.3321,9.0113,5.5604,1.7266,,,TCGA-F2-6879-01,8.7792,7.3821,9.4702,11.5109,8.9441,9.3349,7.5805,8.2961
GTEX-ZT9W-0926-SM-57WFS,5.4309,2.2723,7.4849,10.9704,8.4877,9.106,2.7541,0,,,TCGA-HZ-7926-01,8.0508,6.2801,9.8831,11.2014,8.2817,9.5116,7.554,6.7179
GTEX-ZDTT-1126-SM-4WKFW,4.8502,4.4517,7.2897,11.3442,8.3708,9.3181,4.1079,0,,,TCGA-IB-A7LX-01,9.2914,5.0534,10.005,11.2794,8.7639,9.0584,9.3847,7.7055
GTEX-14ICL-1126-SM-5S2RE,6.9985,5.0591,8.2966,11.2475,8.2328,9.1311,4.8259,4.2026,,,TCGA-2J-AABU-01,8.8273,6.6582,9.0974,11.0923,7.5758,9.4995,6.6582,7.4395
GTEX-OOBK-1026-SM-48TC2,4.6601,2.437,6.9094,11.339,8.26,9.3146,4.3832,1.6814,,,TCGA-2L-AAQE-01,8.9012,6.6114,9.3324,10.6697,8.9918,9.2065,5.6151,7.3087
GTEX-11TT1-0326-SM-5LUAY,6.0028,2.9127,8.0817,11.0828,8.6294,9.2742,3.8136,0,,,TCGA-XD-AAUL-01,8.3039,6.4236,9.5653,10.9519,7.7503,8.9219,6.3144,6.5142
GTEX-T8EM-0826-SM-4DM76,5.6836,0,8.0566,11.6299,8.3077,8.9181,4.7827,0,,,TCGA-2J-AABA-01,7.7346,5.7614,9.4143,11.039,8.6992,9.175,5.8626,7.0242
GTEX-ZG7Y-0326-SM-4WWEY,5.7293,3.4113,7.5095,11.3884,8.7914,9.0138,4.3419,1.5499,,,TCGA-3A-A9IO-01,6.0432,3.2213,7.5825,10.6563,9.4151,9.5821,2.9376,1.4143
GTEX-111CU-0526-SM-5EGHK,5.4151,2.6342,6.8528,10.8993,8.1043,8.9984,2.6342,1.8497,,,TCGA-F2-7273-01,6.3843,5.4706,9.825,10.9344,7.8652,9.3472,5.0564,5.6667
GTEX-111YS-1226-SM-5EGGJ,5.665,1.8551,7.0715,10.9665,8.0145,9.1366,5.2345,0,,,TCGA-FB-A4P6-01,6.7007,5.5376,8.8217,10.8544,8.3998,8.6868,5.4735,5.921
GTEX-117YX-0226-SM-5EGH6,5.3764,4.2493,8.0472,11.0684,8.2125,9.0567,4.2493,0,,,TCGA-FB-AAPZ-01,8.3949,6.9323,9.8368,11.2949,7.8359,9.1964,7.0936,6.0077
