samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s,,,samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h
TCGA-2G-AAL7-01,11.3794,9.0452,10.7257,12.2976,9.5965,9.9293,9.2578,7.6682,,,GTEX-X5EB-2026-SM-4E3KA,10.1678,9.9965,9.2837,12.0502,9.3058,9.6349,9.3788,7.8325
TCGA-ZM-AA0B-01,11.0839,10.0318,10.3084,11.6819,9.3453,10.3105,8.5291,7.6911,,,GTEX-12WSI-2126-SM-5GCMV,10.325,9.9433,9.3646,11.9857,8.9833,9.8326,9.9674,7.7872
TCGA-2G-AAEW-01,11.2875,10.7025,10.6184,11.6879,8.6457,11.0456,9.5554,8.7495,,,GTEX-TKQ2-1526-SM-4DXUN,9.7888,10.5813,8.8125,11.7828,9.0274,9.7287,10.0893,7.9696
TCGA-2G-AAFM-01,11.4969,9.2489,10.1176,12.4348,8.9331,9.8482,7.9819,6.3244,,,GTEX-13O1R-0726-SM-5IJEI,10.6609,10.0187,8.7549,12.2731,8.8679,10.0158,10.2126,7.3592
TCGA-2G-AAFV-01,10.3608,9.0171,10.2906,11.7064,10.5273,10.7231,9.8754,9.0918,,,GTEX-11GS4-2026-SM-5N9CP,9.9545,9.6814,9.3006,11.9801,8.8962,9.5965,9.4965,7.4849
TCGA-2G-AAHP-01,12.4536,10.5319,11.0313,13.0846,9.9304,11.0936,9.4317,8.0607,,,GTEX-12WSM-1326-SM-5GCP9,9.2272,8.409,9.1829,11.6295,9.6289,9.6618,7.8173,6.6442
TCGA-2G-AAL5-01,10.8813,9.6105,10.6237,11.5925,10.4755,10.57,9.8565,8.9132,,,GTEX-ZV7C-2026-SM-5NQ8F,10.1185,9.8612,9.7641,11.8926,9.4541,9.9165,9.4974,8.046
TCGA-4K-AAAL-01,11.0599,9.8596,9.4811,11.7554,8.9536,10.7712,8.2643,7.3023,,,GTEX-139T8-0726-SM-5L3D2,6.467,5.093,7.6518,11.3099,9.8457,9.37,3.3613,0
TCGA-VF-A8A9-01,11.2406,10.0569,10.2736,12,9.5451,10.0252,8.6596,8.1353,,,GTEX-147JS-0126-SM-5S2TW,10.5418,9.8972,9.3073,11.941,9.369,10.0782,9.1312,7.7607
TCGA-VF-A8AB-01,10.8308,9.2812,10.1133,11.8102,8.2198,10.1554,8.9826,6.9548,,,GTEX-1399T-1526-SM-5P9J6,10.1023,9.065,8.8585,12.0649,9.2781,10.1335,7.5499,6.8712
TCGA-XE-AAOC-01,9.82,7.6193,9.4416,11.334,9.6291,10.1733,8.3691,6.6526,,,GTEX-13N2G-0126-SM-5N9DV,9.9075,9.6394,9.4565,12.0406,9.7978,9.9941,8.0458,6.944
TCGA-2G-AAF4-01,11.1882,9.9745,11.1842,12.5722,9.6843,11.0169,9.9362,7.8494,,,GTEX-13FLW-2126-SM-5N9FD,10.0716,9.7702,9.1939,11.8598,9.0721,9.6048,9.7109,7.7378
TCGA-2G-AAFG-01,11.4452,11.1151,10.7675,11.9803,9.8918,10.0847,9.0547,7.9424,,,GTEX-117XS-2026-SM-5GID1,10.1438,9.9195,9.1903,11.9132,9.4226,9.9115,9.7256,7.9936
TCGA-2G-AAGT-01,10.7906,8.5473,10.3019,12.5072,10.1671,11.0372,8.6046,9.2028,,,GTEX-13O21-1226-SM-5J2MK,10.3729,9.7744,9.5671,11.9129,9.3437,10.1798,9.1141,7.6923
TCGA-2G-AAH0-01,11.4631,9.7649,10.7151,11.3202,9.4285,10.3906,9.607,8.2506,,,GTEX-OIZI-0126-SM-3NB13,10.1948,9.3729,9.8533,11.851,9.3928,10.5197,8.0389,6.585
TCGA-SN-A84W-01,10.7264,9.2341,9.8784,11.6741,9.0093,9.9123,10.209,9.0744,,,GTEX-WK11-0326-SM-4OOS6,10.3146,10.0131,9.1873,11.9578,8.8859,9.4004,8.6121,7.7222
TCGA-SO-A8JP-01,11.5658,10.6857,10.76,11.9992,9.8522,11.675,8.7247,7.8956,,,GTEX-WHSE-0426-SM-4M1XO,10.1582,9.8549,9.4186,11.8195,9.2897,9.8161,9.9381,7.0149
TCGA-VF-A8AC-01,10.9298,10.6755,10.3878,11.6635,8.3191,11.0793,9.0159,7.8763,,,GTEX-139TT-2226-SM-5LZWO,10.1641,9.6572,9.207,11.7978,8.8438,9.7241,8.0175,7.5834
TCGA-XE-A8H5-01,11.7003,10.2734,11.0161,12.6291,9.7344,11.155,10.8948,8.5988,,,GTEX-V955-1926-SM-4KL1L,10.1705,9.9774,8.8899,12.3114,9.4323,9.833,9.4374,7.1719
TCGA-YU-AA61-01,9.7705,8.1359,10.4289,11.3523,9.1002,10.0293,8.7563,8.605,,,GTEX-O5YT-2126-SM-3MJGD,10.1615,9.1001,9.2518,12.117,9.3354,10.4591,7.3956,7.2493
TCGA-2G-AAF1-01,10.6319,10.7474,10.5663,11.5076,8.5986,10.9414,9.0018,8.2308,,,GTEX-11EI6-2226-SM-5EGJM,10.4392,9.3527,9.3849,12.1442,9.3247,10.0284,7.9907,6.9423
TCGA-2G-AAF6-01,10.8655,9.4673,10.02,11.9554,9.7984,11.068,9.327,7.3562,,,GTEX-13111-1526-SM-5EGJX,10.2104,9.9162,9.1478,11.8039,8.9385,9.7413,9.4299,7.5679
TCGA-2G-AAGC-01,10.4935,10.0871,11.1338,11.9486,10.4433,10.4834,10.0159,8.7918,,,GTEX-XBED-2026-SM-4AT5D,10.4036,10.3624,9.0628,12.0837,9.0839,10.2424,10.026,7.6708
TCGA-2G-AAGF-01,11.0473,9.5799,9.9804,12.4115,9.5255,9.757,8.757,7.4127,,,GTEX-111FC-1926-SM-5GZYC,10.1773,9.8178,9.5183,12.0296,9.2957,9.7116,8.7695,6.7641
TCGA-2G-AAGJ-01,10.4162,9.4605,10.3311,12.5678,8.938,10.5219,9.6217,7.4489,,,GTEX-13NYB-2226-SM-5MR58,10.694,9.6771,9.1724,11.9693,9.0684,9.8848,8.5202,7.3366
TCGA-2G-AAGY-01,10.937,9.9326,10.033,11.7826,9.9513,10.3939,11.0531,9.1077,,,GTEX-U8T8-1126-SM-4DXUE,9.9811,9.398,8.95,11.723,9.2602,9.6286,8.8226,6.8871
TCGA-WZ-A7V4-01,10.9218,10.4149,10.7734,11.9419,8.8141,10.9141,8.6316,8.1111,,,GTEX-Y3I4-2026-SM-4TT6Z,10.2792,9.6234,9.2214,11.8713,9.113,10.1392,8.8092,7.0099
TCGA-YU-A94D-01,10.383,9.2138,10.6939,11.3321,11.0953,10.5458,9.0657,7.4819,,,GTEX-11NSD-1026-SM-5N9BE,10.4315,10.2414,9.0054,12.1114,9.175,9.9041,9.1317,7.838
TCGA-2G-AAGZ-01,10.2494,8.8976,10.0176,12.234,9.825,9.9176,8.0933,6.9066,,,GTEX-R55C-1426-SM-48FED,10.5473,10.0976,8.9586,11.9571,9.2224,10.2652,8.1035,7.3362
