,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-ZV7C-1626-SM-5NQ7E,7.0852,4.6252,8.0103,11.5318,8.6122,9.3666,2.6925,7.4128,,,TCGA-D7-6822-01,10.9437,8.1834,10.9164,12.59,11.0712,10.1151,9.0238,10.7432
GTEX-QV44-1226-SM-4R1KE,7.1724,4.1317,7.304,11.182,8.7819,8.9045,3.5873,6.9332,,,TCGA-FP-7735-01,10.9597,8.3279,9.7745,12.0207,9.3746,9.3046,6.7185,8.4578
GTEX-1399R-1126-SM-5IFIO,8.6127,8.3334,8.0263,11.4727,8.7381,8.9788,7.4294,9.7237,,,TCGA-FP-7916-01,9.8725,9.2522,9.9721,11.6301,8.657,9.6916,9.045,9.1945
GTEX-Q2AI-0826-SM-48TZO,7.5504,6.6129,7.8074,11.5563,8.1882,9.3196,5.0034,7.4023,,,TCGA-FP-7998-01,9.9988,9.7317,10.0541,11.4438,8.1955,9.4631,9.2134,9.9592
GTEX-XXEK-0826-SM-4BRWG,6.625,4.1891,6.4777,11.1864,9.0565,9.4791,3.4031,6.9042,,,TCGA-FP-A9TM-01,9.8294,9.8073,10.4016,11.7997,9.975,9.5955,9.4969,11.2436
GTEX-YEC4-1426-SM-5IFHS,7.3663,6.7709,8.5297,11.5021,8.1843,8.8744,5.6447,8.0576,,,TCGA-HU-A4H8-01,9.7863,10.564,9.76,11.7382,9.147,9.7862,9.954,10.6287
GTEX-11NSD-1426-SM-5HL67,8.568,7.5523,7.7192,11.4638,8.9717,8.8657,6.9514,9.2027,,,TCGA-BR-8678-01,11.5451,9.972,11.8256,11.642,8.9609,10.05,10.8442,9.9271
GTEX-13O21-0926-SM-5IFGT,8.7544,8.7596,7.7988,11.2187,8.2709,8.9479,7.1446,9.804,,,TCGA-CD-A4MG-01,10.4734,8.9529,9.6674,11.4912,9.3667,9.0311,8.8079,9.3612
GTEX-144GN-1226-SM-5O991,7.187,5.8147,8.0467,11.3672,8.4186,9.0806,4.7558,8.5631,,,TCGA-CG-4444-01,9.7614,9.3538,10.0809,11.4097,9.8598,9.653,9.2202,9.4097
GTEX-12BJ1-1726-SM-5HL9B,8.9249,8.0291,9.1352,11.7128,8.6707,9.2655,6.3223,8.3753,,,TCGA-CG-4475-01,9.8703,8.5961,9.4738,10.6556,8.9195,9.3743,8.5771,9.4544
GTEX-WFG7-1326-SM-4LMK1,8.8706,8.4156,8.6357,11.4127,8.7054,8.937,7.3716,9.768,,,TCGA-HU-8249-01,11.777,10.6325,11.0363,13.2762,9.7459,10.3292,9.1558,10.9868
GTEX-ZDYS-1926-SM-5HL59,8.2449,5.4754,8.1322,11.0857,8.0106,9.0303,5.0932,8.948,,,TCGA-IN-A6RS-01,9.9354,8.819,10.447,11.167,10.0492,9.3619,7.3126,9.2059
GTEX-117YW-2226-SM-5N9DB,7.5733,7.2688,9.8613,11.9446,9.4344,10.1043,6.9415,3.8257,,,TCGA-VQ-A8PF-01,10.3946,10.0153,10.3796,12.2364,9.298,9.6401,9.2922,11.7713
GTEX-QV31-0626-SM-447C5,7.0914,4.9804,7.748,11.3939,8.5872,9.2479,4.0254,6.1471,,,TCGA-VQ-A8PP-01,9.0278,9.2496,10.5032,11.4348,9.1186,9.5816,8.9047,9.1129
GTEX-1339X-1426-SM-5K7YO,6.2744,1.8801,9.1049,11.6735,8.1712,9.7915,1.2268,2.3281,,,TCGA-BR-4369-01,9.9843,8.5655,10.6515,11.7293,11.6143,9.8987,9.214,10.1078
GTEX-ZAB4-1526-SM-5CVN7,6.8028,2.3717,6.4362,11.1447,9.1741,9.2124,1.6265,5.6152,,,TCGA-BR-6707-01,10.3991,9.6914,9.6345,11.7109,9.6293,8.8807,8.4663,9.8008
GTEX-13FTW-1726-SM-5KM2B,8.7341,8.0432,8.2784,11.6665,7.7687,9.2171,6.0907,8.8573,,,TCGA-BR-8683-01,10.1914,8.9406,11.7792,12.2253,9.7193,9.9982,9.9296,9.6361
GTEX-QLQW-0726-SM-447AA,7.3379,3.4255,7.5403,11.0251,8.5342,9.0288,4.7969,7.2713,,,TCGA-D7-6518-01,8.5602,7.7391,9.0661,11.4012,8.3858,8.723,6.1474,7.7391
GTEX-YFCO-0826-SM-5LUAG,7.6564,6.3846,7.7969,11.3367,8.6034,9.3406,3.3759,7.833,,,TCGA-D7-8575-01,8.3479,7.1389,10.7611,11.3332,8.5845,9.7138,7.7719,8.2593
GTEX-111CU-0926-SM-5EGIK,9.4833,8.1412,8.5144,11.5027,8.369,9.1545,6.5978,9.165,,,TCGA-HU-8610-01,9.2574,8.7577,10.343,10.7443,8.9746,9.1873,7.1564,10.0446
GTEX-111YS-1126-SM-5GZYQ,6.9319,5.9,8.2115,11.248,8.1908,9.1527,3.7912,6.3201,,,TCGA-HU-A4GH-01,10.757,11.0028,9.6169,11.669,8.4303,9.7197,8.6113,9.8714
GTEX-SNMC-0626-SM-4DM6H,8.1008,7.5508,8.491,11.4394,8.4653,9.1363,6.7007,9.1578,,,TCGA-VQ-AA6J-01,10.5013,9.6276,9.5656,12.6418,9.5285,9.6011,9.6845,10.6592
GTEX-QLQ7-0826-SM-447B3,7.3929,5.7716,7.8058,11.4941,8.2617,9.1763,4.9009,6.8643,,,TCGA-B7-A5TJ-01,9.8017,8.605,10.0967,12.0089,9.0203,8.9719,7.8034,9.4739
GTEX-QDVN-1226-SM-48TZ5,7.5525,7.7308,8.6955,11.5958,8.4291,8.9994,5.5637,8.3851,,,TCGA-BR-7851-01,9.7095,10.7052,9.5774,11.3279,8.1347,8.7901,10.526,10.6125
GTEX-WFON-1126-SM-4LVMA,6.8504,4.8644,7.5001,11.1722,8.3632,8.7746,2.7281,7.3423,,,TCGA-BR-7901-01,9.8949,8.7139,9.5942,11.1378,7.5623,9.2073,7.873,8.9912
GTEX-11TT1-0726-SM-5GU5A,7.1751,5.45,8.1529,11.6397,8.5765,9.7257,5.2047,6.2185,,,TCGA-CD-8536-01,9.5543,9.4264,9.124,11.2145,9.3501,8.4437,8.4953,9.1509
GTEX-12696-1726-SM-5EQLH,7.905,5.7486,7.0679,11.4198,8.5969,9.2359,4.9612,8.311,,,TCGA-HU-A4G6-01,10.0234,9.5928,10.1591,11.6567,10.1537,10.2636,9.26,9.5569
GTEX-XBED-1226-SM-4AT5V,8.12,6.3512,8.0486,11.3113,8.4094,9.2191,5.3089,7.5763,,,TCGA-HU-A4GC-01,10.5557,9.318,9.5754,11.7824,9.4395,9.262,7.7212,10.1618
GTEX-11NUK-2426-SM-5BC4U,8.1016,6.413,9.4204,10.6673,7.4897,8.7777,7.2732,7.6511,,,TCGA-IP-7968-01,10.4722,9.2101,10.3659,11.6836,9.2951,9.6604,9.5328,10.38
GTEX-SUCS-0926-SM-4DM4Z,7.3135,4.5207,7.8821,11.2478,8.389,9.0797,3.825,7.2316,,,TCGA-VQ-A8PO-01,9.2536,9.9916,9.9286,12.1501,9.8241,8.8847,9.15,9.6837
GTEX-U8XE-2126-SM-5CHRC,0,0,0,0,0,0,0,0,,,TCGA-VQ-A91X-01,10.2305,9.328,11.203,12.4241,9.6993,9.5915,9.0021,10.2562
GTEX-WFON-1126-SM-5CHTG,0,0,0,0,0,0,0,0,,,TCGA-VQ-A94O-01,10.6875,9.268,11.3676,12.5774,10.6812,10.2756,9.4976,10.3414
GTEX-ZE7O-3026-SM-51MS4,5.7223,1.2191,7.2517,10.8353,9.6902,8.6702,2.3173,1.2191,,,TCGA-CG-5726-01,10.8502,10.6857,9.2633,12.0596,9.5789,8.8447,9.0087,10.4483
GTEX-ZPIC-2026-SM-57WG3,6.1424,2.1275,9.0002,11.1283,7.4526,9.4735,2.1275,1.6989,,,TCGA-D7-A4YU-01,10.7061,10.6239,11.0567,11.4023,9.6994,9.4916,9.4365,9.9639
GTEX-1211K-1426-SM-5FQTF,7.5457,4.5362,9.0714,11.461,7.5563,9.6864,3.442,3.9049,,,TCGA-HU-A4GU-01,10.6593,9.9679,9.6734,11.2466,7.877,10.1878,9.6315,9.5734
GTEX-UJHI-1026-SM-4IHJP,6.0542,3.892,7.9815,11.3325,7.4981,9.4402,3.2944,3.7642,,,TCGA-HU-A4HD-01,10.2017,9.5905,10.2523,12.0453,11.0898,9.9266,8.658,10.1269
GTEX-146FR-2026-SM-5NQAI,7.6372,5.14,8.4905,11.44,7.9181,9.4213,3.0865,4.6179,,,TCGA-VQ-A94T-01,10.5592,9.0195,10.3702,12.308,9.4447,9.4506,8.2829,9.9128
GTEX-146FH-2126-SM-5SI9U,7.9884,5.9681,8.4551,11.2395,8.4839,9.1443,3.5217,4.5411,,,TCGA-BR-4191-01,10.1431,8.0652,11.424,12.8273,9.7219,10.1435,9.5343,9.5272
GTEX-139D8-2326-SM-5IFGE,6.8805,3.6001,7.3179,11.5506,9.9584,9.174,4.4504,4.6232,,,TCGA-BR-8059-01,9.5115,8.2701,9.5428,10.8621,8.0517,8.8251,8.5571,8.1417
GTEX-11VI4-0326-SM-5EQ6L,6.4073,1.9984,8.2387,11.2699,7.6851,9.6747,0,2.4577,,,TCGA-BR-A4PF-01,10.1901,8.8392,9.9713,11.7374,8.7898,9.1042,9.4081,10.0984
GTEX-P78B-1826-SM-3P5YX,7.6738,7.1203,8.3299,11.5636,9.4847,8.9144,6.2106,9.3977,,,TCGA-CG-5725-01,11.4479,9.4875,10.5084,12.4635,9.7761,9.4505,9.5452,9.1501
GTEX-ZYVF-2726-SM-5GID4,5.945,2.3596,8.6255,11.3784,9.6516,8.4939,2.7026,1.2494,,,TCGA-D7-8574-01,8.0028,7.4894,9.6333,10.8858,8.9641,8.4009,6.7494,8.2041
GTEX-WYVS-1326-SM-4ONCQ,6.6822,3.4815,7.1806,11.0438,9.4863,9.1388,1.4302,5.1935,,,TCGA-D7-8578-01,9.8434,8.18,10.1395,11.8263,7.7976,9.5705,8.412,8.9261
GTEX-ZVT3-2126-SM-59HL2,6.2747,5.4887,8.1159,11.2018,8.8791,8.9138,7.0697,6.2441,,,TCGA-HU-A4H0-01,11.2437,10.7017,10.6268,12.2911,9.8324,10.4291,10.0297,10.8082
