samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-XBED-1126-SM-48TCF,7.1731,2.0775,9.0738,11.3381,7.4703,9.8026,2.5438,1.3843,,,TCGA-L5-A4OF-01,9.4198,9.3231,11.1598,12.1619,9.7683,10.7884,8.7042,9.791
GTEX-146FQ-1226-SM-5QGQ4,7.6325,7.1886,8.2088,11.3284,8.4986,9.4159,6.4198,8.9084,,,TCGA-VR-A8EX-01,9.4965,10.0033,9.8749,12.0963,8.0712,9.6415,9.7802,9.2099
GTEX-14DAR-0726-SM-5RQIA,7.5733,1.8112,8.0539,11.3059,8.1903,9.7657,1.8112,1.1729,,,TCGA-IG-A3YC-01,9.8174,9.3787,9.8419,12.007,8.4202,9.1893,9.5587,9.0115
GTEX-132QS-1626-SM-5K7YZ,6.7281,3.0431,8.3527,11.3246,7.1117,9.5143,2.5431,2.2083,,,TCGA-IG-A8O2-01,9.4155,9.6628,10.0384,12.6466,8.6949,10.4038,9.4013,8.5324
GTEX-131XF-1126-SM-5HL8J,8.2033,2.8915,8.8457,11.3819,7.8074,9.9695,0,0,,,TCGA-L7-A6VZ-01,10.2653,9.7556,8.4284,11.6226,10.0192,9.378,9.2115,10.7073
GTEX-Z9EW-0326-SM-5CVM8,8.4948,3.7094,8.2109,11.3852,7.6718,9.8343,1.8815,1.2279,,,TCGA-LN-A49M-01,8.8586,9.4083,10.3665,12.163,6.7915,9.4913,10.3514,8.4459
GTEX-12WSN-1826-SM-5LZUT,6.6598,4.3269,9.1292,11.7258,8.1274,9.6749,2.1939,2.5279,,,TCGA-LN-A9FQ-01,10.0318,9.1445,9.8889,12.4318,7.5779,10.2213,9.3668,9.0575
GTEX-13RTK-0426-SM-5RQHT,7.9767,3.8641,9.0527,11.2486,7.367,9.8452,2.4648,1.705,,,TCGA-IG-A3YB-01,9.1767,9.0236,10.0651,11.5266,7.2242,8.9759,6.9837,7.7109
GTEX-YEC4-1226-SM-5CVLX,7.1263,2.0174,8.7713,11.1215,7.7314,9.7589,3.3428,2.0174,,,TCGA-JY-A93E-01,9.5198,8.3072,9.988,11.7707,8.959,9.5782,8.5694,9.8953
GTEX-1339X-1126-SM-5J2OI,5.7256,2.8441,8.9198,11.8944,8.0881,9.8162,0,0,,,TCGA-LN-A4A3-01,10.0856,9.1811,10.5458,11.8639,9.5021,10.138,10.7931,9.3563
GTEX-WFG7-1226-SM-4LMK2,7.4203,5.0908,8.5352,11.3276,8.2607,9.4873,3.8557,3.8557,,,TCGA-Q9-A6FW-01,8.3509,8.3566,9.7058,11.4081,8.5929,9.2909,8.3679,8.8869
GTEX-X5EB-1026-SM-46MVU,7.1959,0,8.7743,11.2082,7.5132,9.5689,3.0032,0,,,TCGA-IG-A625-01,9.3419,8.4666,10.6667,12.0318,8.3185,9.5737,8.9954,10.0137
GTEX-ZVT2-1526-SM-51MQZ,6.3441,3.4034,9.9411,11.5792,6.8735,10.1456,2.5337,2.8049,,,TCGA-L5-A4OX-01,10.1113,10.7847,11.0392,12.514,10.0766,9.5016,10.23,10.724
GTEX-ZAK1-1826-SM-5HL93,7.0522,1.229,7.9792,11.1763,9.3275,9.406,2.9487,1.229,,,TCGA-L5-A88V-01,11.3224,10.1196,10.0848,12.3075,8.1911,9.2651,8.2492,9.5683
GTEX-12WSD-2026-SM-5HL7D,7.0218,2.8721,7.8042,11.2465,9.0104,8.7678,2.5986,2.5986,,,TCGA-LN-A4A1-01,9.9785,9.0062,10.355,11.2797,8.0552,9.6541,9.9986,8.216
GTEX-14DAQ-1626-SM-5S2R1,6.6964,4.1794,8.1757,11.3124,9.0889,8.8555,0,1.2789,,,TCGA-R6-A8W5-01,10.0868,10.5696,10.8927,12.2748,9.6865,10.0946,9.6511,10.2459
GTEX-11ZTS-2726-SM-5EQLU,7.1664,2.0479,8.4143,11.1208,9.216,9.2321,2.862,2.0479,,,TCGA-R6-A8WG-01,10.8736,10.0002,10.4449,11.7843,9.292,10.5709,10.3078,10.5119
GTEX-11VI4-0826-SM-5GU5N,6.9881,4.4879,8.0857,11.1327,7.8183,9.8614,4.3991,4.8648,,,TCGA-VR-A8Q7-01,12.0113,10.1719,12.551,13.79,11.149,10.9204,12.2433,11.616
GTEX-ZYVF-2526-SM-5E45C,6.9878,2.6533,8.7538,11.6037,9.4778,9.562,2.3876,1.6399,,,TCGA-IC-A6RE-01,10.5759,9.3741,9.1176,11.6958,8.3149,9.2064,9.0153,9.2373
GTEX-X8HC-1326-SM-46MWB,6.2622,4.9088,9.1431,11.7178,8.7837,9.3977,2.2594,3.628,,,TCGA-LN-A49S-01,10.1656,10.0245,10.1933,12.1519,8.1944,9.608,9.3107,9.9636
GTEX-YJ8O-0326-SM-5RQJW,7.1824,3.5258,7.3775,11.4405,8.8349,9.1973,1.3234,1.3234,,,TCGA-LN-A7HW-01,9.6156,8.9047,10.4056,11.9384,7.3345,9.7772,9.1147,8.6744
GTEX-148VI-1226-SM-5RQJR,7.8743,3.371,7.8453,11.3176,8.5681,9.1055,2.041,1.3548,,,TCGA-V5-A7RB-01,10.1239,9.5542,10.7794,11.068,10.5555,10.298,9.5996,10.2474
GTEX-13QBU-0826-SM-5IJBU,6.7519,5,9.1177,11.17,7.7465,9.2084,2.9798,4.6502,,,TCGA-2H-A9GO-01,10.6962,9.8969,11.1087,11.4503,10.0428,9.7809,10.3847,10.8007
GTEX-11I78-1626-SM-5A5M2,7.5066,5.8216,9.7917,11.803,7.6285,10.2909,3.2132,3.3863,,,TCGA-IG-A50L-01,10.3777,10.1948,10.7324,12.6897,8.6868,10.153,11.1588,8.441
GTEX-ZPIC-1926-SM-57WFQ,6.4814,3.3166,9.1503,10.8642,7.3965,9.4982,2.6139,2.2754,,,TCGA-IG-A97I-01,9.9802,9.6508,9.17,11.6498,7.1164,9.5786,9.9239,9.0478
GTEX-ZF2S-1326-SM-4WWAZ,7.1372,2.6047,8.5194,11.3054,8.6304,9.2845,1.8243,0,,,TCGA-LN-A4A9-01,9.5982,9.7827,10.064,11.7669,8.9914,9.1597,10.1638,8.0112
GTEX-13113-0626-SM-5GCP2,6.6053,2.213,8.8141,11.3276,6.7417,9.27,1.4948,0,,,TCGA-LN-A7HV-01,10.5082,10.2077,11.3475,11.1416,7.9835,10.0089,10.5374,8.3336
GTEX-Y3IK-1326-SM-4YCD8,6.6075,3.1768,8.2155,11.0261,8.3636,9.1206,2.9453,2.3281,,,TCGA-M9-A5M8-01,10.3147,9.347,9.9974,11.9134,8.9942,9.9319,10.5273,9.8919
GTEX-WYBS-1626-SM-4ONCA,6.9515,4.489,8.4522,11.1631,9.1248,9.1674,2.1941,0,,,TCGA-R6-A6DN-01,10.912,8.5041,10.9072,12.0847,8.8155,9.9289,9.9297,11.0555
